head,A,pmax_mean,pmax_ge_0.9,margin_mean,entropy_mean,mode_change_rate,dwell_mean_steps,dwell_median_steps,step_change_norm_mean
throttle,31,0.41853097,0.10627274,0.27485937,1.912477,0.31886432,3.1294452347083928,1.0,0.07971027669182047
elevator,41,0.43078917,0.002818182,0.20640212,1.526704,0.75156975,1.3302696819446125,1.0,0.10588235294117648
aileron,41,0.36363408,0.0026363635,0.15576217,1.7643027,0.72135776,1.3859140733274538,1.0,0.0955564142194745
rudder,41,0.41877162,0.018727273,0.20579576,1.5841464,0.73528075,1.3595352861203807,1.0,0.10894172197472497
