head,A,pmax_mean,pmax_ge_0.9,margin_mean,entropy_mean,mode_change_rate,dwell_mean_steps,dwell_median_steps,step_change_norm_mean
throttle,31,0.6104035,0.27838463,0.4771849,1.2455597,0.22745824,4.387445156935538,2.0,0.07931892196835653
elevator,41,0.5138313,0.01846154,0.30753034,1.3625926,0.72503275,1.378725209460176,1.0,0.12177667512885607
aileron,41,0.43868935,0.029846154,0.2552641,1.6907108,0.68530077,1.4585437002131718,1.0,0.14168205246557428
rudder,41,0.5796157,0.107,0.38494918,1.1723067,0.6990837,1.4299857001429985,1.0,0.12466151242403262
