trajectory,method,N_waypoints,cross_track_rms,cross_track_max,wp_error_mean,total_saturation_rate,actuator_smoothness,waypoints_reached,steps
climbing_turn,curvature_N5,5,12556.761991940859,20230.160136817656,5109.290486061046,0.031545741324921134,98705.0,1,317
climbing_turn,curvature_N10,10,16805.448811038004,16805.448811038004,21517.1440784056,nan,nan,0,1
climbing_turn,curvature_N20,20,11477.227998136901,19414.456425212116,6000.337840736444,0.17142857142857143,80612.0,0,280
climbing_turn,curvature_N40,40,11498.805058487433,19432.603950889927,6143.728738491071,0.15087719298245614,70850.0,1,285
climbing_turn,curvature_N80,80,27211.844143760452,38863.932720114826,4151.276010760198,0.0895123580494322,470729.0,2,1497
climbing_turn,rdp_eps50,33,16614.77358095895,16624.870243956175,21609.14641428274,0.5,1130.0,0,2
climbing_turn,rdp_eps100,20,16301.32058752795,16310.555507738056,21142.716812728722,0.0,2281.0,0,2
climbing_turn,rdp_eps200,17,16876.79496937262,16876.79496937262,21702.434905807946,nan,nan,0,1
climbing_turn,rdp_eps500,9,16355.626861430927,16363.024562713406,21186.03078184104,0.6666666666666666,2697.0,0,3
climbing_turn,dp_no_bandwidth,500,16651.20032773816,16665.06204931073,21720.42223187805,0.5,2539.0,0,2
climbing_turn,dp_with_bandwidth,2,16348.671979682118,16358.487214211587,18096.271010427867,0.25,2389.0,0,4
slalom,uniform_N5,5,20337.999291652322,20354.525470667537,33919.549432335276,0.5,986.0,0,2
slalom,uniform_N10,10,20295.774557039796,20308.015422437536,33934.816140396615,0.5,987.0,0,2
slalom,uniform_N20,20,20384.749821287165,20412.40394324822,33924.557821715855,0.0,1650.0,0,2
slalom,uniform_N40,40,17077.121544828227,22916.35920539162,13964.239255743387,0.19732441471571907,179823.0,1,598
slalom,uniform_N80,80,20426.76571690879,20426.76571690879,33949.95915354679,nan,nan,0,1
slalom,curvature_N5,5,15372.641082086262,24524.593146846157,15348.983363343632,0.10256410256410256,107872.0,1,351
slalom,curvature_N10,10,20411.973769825934,20411.973769825934,34055.819164601984,nan,nan,0,1
slalom,curvature_N20,20,14407.579214023326,23751.198125998708,15207.574199326005,0.009523809523809525,81899.0,1,315
slalom,curvature_N40,40,14335.348605046238,23768.475103226552,15026.795299547914,0.009259259259259259,96484.0,1,324
slalom,curvature_N80,80,33117.21096854874,50942.53763848385,13969.92977629634,0.0895,636413.0,1,2000
slalom,rdp_eps50,61,20314.292952620337,20327.752701355705,34898.572155983406,0.5,1130.0,0,2
slalom,rdp_eps100,51,20241.996748536396,20247.366178084594,33517.81044203844,0.0,1721.0,0,2
slalom,rdp_eps200,32,20448.215055908888,20448.215055908888,33914.448902942626,nan,nan,0,1
slalom,rdp_eps500,12,20239.52195065619,20239.9736904352,33845.62519577591,0.6666666666666666,2615.0,0,3
slalom,dp_no_bandwidth,462,20327.536961521433,20345.379004697927,33831.025103124666,0.5,2506.0,0,2
slalom,dp_with_bandwidth,2,20239.954930704065,20241.848347811076,34307.21501232436,0.25,2317.0,0,4
